url,title,type_tv,alt_title,description,popularity,status,last_episode_number,normalized_rating,genre_1,genre_2,genre_3
https://www3.animeflv.net/anime/selector-infected-wixoss,Selector Infected WIXOSS,Anime,,"Esperanza, deseo, avaricia. Chicas con estos sentimientos en sus corazones se ven arrastradas al vórtice de un peligroso juego. 

WIXOSS es un juego de cartas muy popular, especialmente entre estudiantes de secundaria. Pero pocos conocen la Carta LRIG, “la carta de las chicas que poseen voluntad”. Solo ciertas chicas especiales pueden escuchar la voz de LRIG, y aquellas que poseen esta carta son llamadas “selectors”. 

Una chica rezó por poder cumplir su sueño. El extraño gen “wixoss” dispersado por todo el mundo, fusionado en una forma. Buscando en vano una pelea… 

La victoria será la única forma de revolucionar su deseo. 
Ahora, deberá conquistar “El otro lado de los deseos”.",3,Finalizado,12,9.1,Psicológico,Juegos,
https://www3.animeflv.net/anime/gintama-pororihen,Gintama. Porori-hen,Anime,,Sexta temporada de Gintama.,4,Finalizado,13,9.3,Comedia,Acción,Shounen
https://www3.animeflv.net/anime/3-gatsu-no-lion,3-gatsu no Lion,Anime,,"La historia gira en torno a Rei, un chico de 17 años jugador profesional de shogi que vive casi completamente aislado: solo, sin familia ni apenas amigos y sin ir a clase. Entre sus más directos allegados hay una familia de tres chicas: Akari, una mujer joven, y otras dos muchachas, Momo y Hinata, que además cuidan de una cantidad considerable de gatos.",6,Finalizado,22,9.6,Drama,Recuentos de la vida,Seinen
https://www3.animeflv.net/anime/birdie-wing-golf-girls-story-season-2,Birdie Wing: Golf Girls' Story Season 2,Anime,BIRDIE WING -Golf Girls’ Story- Season 2,Segunda temporada de Birdie Wing: Golf Girls' Story,1,Finalizado,12,8.9,Deportes,,
https://www3.animeflv.net/anime/ameiro-cocoa-series-amecon,Ame-iro Cocoa Series: Ame-con!!,Anime,,Cuarta temporada.,1,Finalizado,12,5.7,Comedia,Recuentos de la vida,
https://www3.animeflv.net/anime/working-3,Working!!!,Anime,,Tercera temporada de Working!!,4,Finalizado,14,9.9,Comedia,Romance,Recuentos de la vida
https://www3.animeflv.net/anime/gingitsune,Gingitsune,Anime,,"La historia se desarrolla en un pequeño templo Shinto dedicado a las cosechas en la era Edo. Makoto Saeki vive allí con su padre y con Gintaro, un espíritu zorro, que es un mensajero de los dioses. Makoto es además la única capaz de ver al espíritu.",2,Finalizado,12,9.1,Sobrenatural,Recuentos de la vida,Seinen
https://www3.animeflv.net/anime/sora-no-otoshimono,Sora no Otoshimono,Anime,Heaven`s Lost Property,"Sakurai Tomoki es un estudiante que trata de llevar su vida en paz y sin ninguna preocupación, pero siempre tiene el mismo sueño, que al despertarse le hace llorar. Su amiga Sohara le dice que vaya a ver a Suagata-Sempai, ya que sabe muchas cosas; y este personaje le dice que tiene relación con el Nuevo Continente. Qué es ese sueño qué relación tendrá con el Nuevo Continente.",8,Finalizado,14,9.4,Comedia,Romance,Shounen
https://www3.animeflv.net/anime/rumiko-takahashi-anthology,Rumiko Takahashi Anthology,Anime,,"Antología de Rumiko Takahashi
El teatro de Rumiko consiste en 13 capítulos independientes basados en historias cortas de entre 1987 y 2000 de Rumiko Takahashi.",0,Finalizado,13,9.1,Comedia,Romance,Drama
https://www3.animeflv.net/anime/oniichan-no-koto,Oniichan no Koto Nanka Zenzen Suki Janain Dakara ne!!,Anime,,"La historia gira en torno a Nao Takanashi ,una estudiante de secundaria que tiene un complejo de hermanos muy fuerte, tan fuerte que puede llegar a punto del incesto. Ella está deter minada a hacer que su hermano,Shuusuke Takanashi , un estudiante de instituto la vea como una mujer sea como sea. Ella incluso llega muy lejos metiendose a escondidas a la habitación de su hermano en búsqueda de revistas pornográficas o algo parecido, con tal de lograr su cometido y seducirlo.",5,Finalizado,13,7.8,Comedia,Romance,Ecchi
https://www3.animeflv.net/anime/kage-kara-mamoru,Kage kara Mamoru,Anime,,"Kagemori Mamoru es un niño aparentemente normal. Pero su verdadera identidad es un ninja que a protegido a los vecinos, La familia Konnyaki por mas de 400 años. Mamoru le a tocado proteger a Konnyaki Yuna, una niña muy descuidara y cada vez que este en problemas tendrá que convertirse en ninja para ayudarla.",2,Finalizado,12,9.1,Comedia,Romance,Shounen
https://www3.animeflv.net/anime/anne-happyo,Anne Happy♪,Anime,,"La historia está protagonizada por la clase 1-7 de la Academia Tennogofune, donde se reúnen todos los estudiantes con “mal karma” o mala suerte. Hibari, que estudia en esta clase, conoce a la desafortunada Hanako y a la siempre enferma Botan en su primer día de clase, y juntas intentarán convertir su vida escolar en una vida feliz.",3,Finalizado,12,9.6,Comedia,Escolares,Recuentos de la vida
https://www3.animeflv.net/anime/hanebado,Hanebado!,Anime,The Badminton play of Ayano Hanesaki!,"Kentaro Tachibana, el entrenador del equipo de bádminton de la escuela. Está preocupado porque el equipo tiene tan pocos miembros que ni siquiera puede participar en competiciones, pero luego ve a una estudiante llamada Ayano Hanesaki escalar fácilmente un gran árbol, demostrando hábilmente excelentes. Tachibana intenta que Ayano se una al equipo, pero descubre que Ayano odia el bádminton.",6,Finalizado,13,9.0,Seinen,Deportes,
https://www3.animeflv.net/anime/ore-wo-suki-nano-wa-omae-dake-ka-yo,Ore wo Suki nano wa Omae dake ka yo,Anime,Oresuki,"Kisaragi Amatsuyu es invitado bella estudiante de último año Cosmos y su amiga de la infancia Himawari. Esperando escuchar sus confesiones, él triunfalmente se encuentra con cada una de ellos. Pero Cosmos y Himawari confiesan a Amatsuyu que les gusta su amigo. Amatsuyu lucha en esta batalla solitaria, pero hay otra chica que lo está mirando. Ella es una niña sombría con gafas y trenzas. Amatsuyu descubre que la odia, porque ella siempre pone su lengua afilada solo sobre él y encuentra placer en sus problemas. Pero resulta que ella es la única a la que realmente le gusta.",9,Finalizado,12,9.3,Comedia,Romance,Escolares
https://www3.animeflv.net/anime/kyoukai-no-rinne-tv-3rd-season,Kyoukai no Rinne (TV) 3rd Season,Anime,,Tercera temporada de Kyoukai no Rinne (TV).,4,Finalizado,25,9.3,Comedia,Romance,Escolares
https://www3.animeflv.net/anime/sengoku-basara-judge-end,Sengoku Basara Judge End,Anime,,Sengoku Basara: Judge End se basará en el juego Sengoku Basara 3 (Sengoku Basara: Samurai Heroes) lanzado en 2010 y representará la épica Batalla de Sekigahara,1,Finalizado,12,8.2,Acción,Superpoderes,Historico
https://www3.animeflv.net/anime/hanasaku-iroha-home-sweet-home,Hanasaku Iroha: Home Sweet Home,Película,," Ohana se ha acostumbrado a vivir en la posada de aguas termales que dirige su abuela, el Kissuisou. Un día, la hija del hotel rival, Yuina, llega al Kissuisou para entrenarse y así convertirse en gerente por sus propios medios. Como Ohana vigila su entrenamiento, se encuentra “cierto objeto” en el almacén mientras limpia.",2,Finalizado,1,9.4,Comedia,Drama,Recuentos de la vida
https://www3.animeflv.net/anime/a-channel-smile,A Channel Smile,OVA,,OVA de la serie A-Channel,1,Finalizado,2,9.4,Comedia,Escolares,Recuentos de la vida
https://www3.animeflv.net/anime/kiba,Kiba,Anime,,"El personaje principal de Kiba es Zed, un muchacho de 15 a?os que vive en un lugar llamado ?Calm?. La situaci?n actual de su vida lo frustra y siente que en alguna parte hacia fuera hay un lugar en donde ?l puede vivir m?s libremente. Un d?a, araido por un viento misterioso, Zed se zambulle en una hendidura del espacio-tiempo (portal), buscando las respuestas que pudieran estar all?. Llevado por el viento, ?l consigue transportarse a un mundo en guerra, en el cual libran batallas los ""Shard Caster"", usuarios m?gicos que usan seres que invocan mediante esferas llamadas ""Shiftings"", con las cuales tambi?n usan spirits.",3,Finalizado,51,9.3,Fantasía,Shounen,Aventuras
https://www3.animeflv.net/anime/strike-the-blood-iii,Strike the Blood III,OVA,Strike the Blood Third,Tercera temporada de Strike the Blood (En Ovas),7,Finalizado,10,8.6,Acción,Fantasía,Sobrenatural
https://www3.animeflv.net/anime/ai-no-idenshi,AI no Idenshi,Anime,The Gene of AI,"El doctor Sudo trabaja en una clínica, pero también tiene un trabajo secundario como médico ilegal para Humanoides. En un mundo en el que el 1% de la población son Humanoides, este médico humano deberá lidiar con todo tipo de dilemas morales a la vez que intenta resolver cierto asunto de su pasado.",5,Finalizado,12,7.8,Drama,Ciencia Ficción,Psicológico
https://www3.animeflv.net/anime/date-a-live-iv,Date A Live IV,Anime,"Date A Live 4, Date A Live Fourth Season, DAL 4",Cuarta temporada de Date A Live,7,Finalizado,12,9.5,Comedia,Romance,Escolares
https://www3.animeflv.net/anime/watashi-ni-tenshi-ga-maiorita-precious-friends,Watashi ni Tenshi ga Maiorita! Precious Friends,Película,Wataten! An Angel Flew Down to Me,,2,Finalizado,1,9.4,Comedia,,
https://www3.animeflv.net/anime/kyousogiga-tv,Kyousogiga (TV),Anime,,"En esta versión paralela de Kyoto, un sitio lleno de seres sobrenaturales, gobernada por un monje, una demonio y un sacerdote; Koto continuará su búsqueda de Kuro Usagi, un extraño conejo quien puede ayudarle a regresar a casa de su mentor, Inari. Junto a sus hermanos, los dos espíritus A y Un, y con la aparición ocasional de la poderosa y enigmática Dama Koto, causaran estragos por toda la ciudad, provocando una enorme frustración a Shoko.",3,Finalizado,13,9.6,Acción,Fantasía,Sobrenatural
https://www3.animeflv.net/anime/blue-lock,Blue Lock,Anime,,"Tras una desastrosa derrota en la Copa Mundial de 2018, el equipo japonés está pasando por un mal momento. ¿Qué es lo que les falta? Un delantero que sea el mejor, alguien que pueda guiarles hasta la victoria. La federación japonesa está decidida a crear un jugador con una sed de gol única, alguien ""egoísta"" con el balón, un jugador que pueda ser capaz de dar la vuelta a un partido que está por perderse... Y para ello reúnen a 300 de las mejores jóvenes promesas de Japón. ¿Quién resultará el elegido como futuro líder del equipo? ¿Quién será capaz de plantar cara con su fuerza y su ego a cualquiera que se ponga en su camino? ¿Quién erá ese jugador más egoísta que nadie?",8,Finalizado,24,9.4,Deportes,,
https://www3.animeflv.net/anime/arte,Arte,Anime,,"Florencia del siglo XVI. El lugar de nacimiento del Renacimiento, donde el arte está prosperando. En un pequeño rincón de esta ciudad, comienza el viaje de Arte, una chica que sueña con convertirse en artista, una carrera imposible para una mujer nacida en una familia noble. En aquellos días, el arte era una profesión exclusivamente masculina, y las mujeres se enfrentaban ante una fuerte discriminación. A pesar de estos desafíos, Arte persevera en alcanzar su sueño con trabajo duro y una actitud positiva.",7,Finalizado,12,9.5,Romance,Drama,Recuentos de la vida
https://www3.animeflv.net/anime/higurashi-no-naku-koro-ni-kira,Higurashi no Naku Koro Ni Kira,OVA,,En higurashi no naku koro ni kira estan Basado en el estilo doujin de asesinatos misterios (creado por aficionados) en la serie de novelas gráficas desarrolladas por Studio 7th Expansion. Estas OVAs fueron producidos para celebrar el 10º aniversario de la franquicia. ,3,Finalizado,4,9.1,Misterio,Parodia,
https://www3.animeflv.net/anime/amagami-ss-plus,Amagami SS Plus,Anime,Amagami SS +Plus,"Secuela del Anime Amagami SS (basado en los juegos Amagami y Amagami Ebikore + para la consola PlayStation 2), Junichi Tachibana, es un estudiante de segundo año de preparatoria que siente mucha tristeza durante las navidades, cuando a la chica que invitó lo dejó plantado en una cita hace 2 años. Decidido a cambiar esa historia, tratará de lograr tener una cita en navidad con alguna de las bellas chicas que hay en su preparatoria: Haruka Morishima, Kaoru Tanamachi, Sae Nakata, Ai Nanasaki, Rihoko Sakurai y Tsukasa Ayatsuji",5,Finalizado,13,9.6,Comedia,Romance,Escolares
https://www3.animeflv.net/anime/gin-no-guardian-2nd-season,Gin no Guardian 2nd Season,Anime,"Shirogane no Guardian, The Silver Guardian",Segunda temporada de Gin no Guardian,6,Finalizado,6,8.7,Fantasía,Aventuras,
https://www3.animeflv.net/anime/boku-no-hero-academia-the-movie-futari-no-hero,Boku no Hero Academia the Movie: Futari no Hero,Película,My Hero Academia the Movie: The Two Heroes,"En el extranjero existe una ciudad gigante, flotante, creada por el hombre: I Island. La película tendrá lugar tras el arco del examen final, en verano, pero antes del arco de entrenamiento del bosque. Asimismo, se revelará más información del pasado de All Might.",9,Finalizado,1,8.8,Comedia,Acción,Escolares
https://www3.animeflv.net/anime/koukaku-no-regios,Koukaku no Regios,Anime,Chrome Shelled Regios,"La historia está ambientada en un futuro dónde las criaturas contaminadas por la polución de un “agente contaminante” han forzado a la humanidad a vivir aislada en ciudades móviles y cerradas llamadas “Regios”. Este agente generó, al mismo tiempo, bestias contaminadas y personas con poderes especiales. En la ciudad de “Czerni”, el joven Reifon Aruseifu, tras la desaparición de su amiga de la infancia, acaba de ingresar en la escuela y se enrola en la “Unidad Especial de Artes Marciales - Pelotón 17º” para explorar el planeta combatiendo a las “Bestias Contaminadas”",7,Finalizado,24,8.9,Acción,Fantasía,Escolares
https://www3.animeflv.net/anime/grisaia-no-meikyuu,Grisaia no Meikyuu,Anime,,"Apenas un año después de su llegada a Mihama, Yuuji toma la inesperada decisión de
conseguir ascenso dentro del CIRS. La acción se reanuda con Yuuji en una reunión con JB
en los “CG corporativos”, discutiendo acerca de los documentos que él envió para revisión
como parte del proceso de ascenso. Dichos documentos contienen el propio pasado de
Yuuji. Mientras tanto, en el dormitorio, las chicas involuntariamente siguen a Sachi y a
Makina que encontraron los borradores de dichos documentos.
La ironía, por supuesto, es que prominentes figuras del pasado de Yuuji pueden seguir
ejerciendo su influencia incluso en el presente…",7,Finalizado,1,9.5,Drama,,
https://www3.animeflv.net/anime/nishi-no-yoki-majo-astraea-testament,Nishi no Yoki Majo: Astraea Testament,Anime,,"La vida de Firiel, una chica de 15 años que se prepara para el baile del Día de la Reina, da un giro inesperado cuando su querido amigo, el ayudante de astrónomo, Dee, le entrega el colgante que pertenecía a su madre. Pronto se verá envuelta en una historia de cuento de hadas, conspiraciones y traición, pero acabará dándose cuenta de que en su mano está la llave para salvar aquello a lo que considera más importante. ",2,Finalizado,13,9.1,Comedia,Fantasía,Romance
https://www3.animeflv.net/anime/miami-guns,Miami Guns,Anime,,"Sakurakouji Yao es el nombre de una chica extrovertida que ama los tiroteos, las persecuciones de coches y el alcohol, Amano Lu es otra chica, hija del jefe de policía de la policía de Miami, más reservada, inteligente y psicótica. Ambas trabajan emparejadas en la policía de Miami, formando un dúo peculiar y limpiando toda la corrupción de dicha ciudad. Miami Guns es una serie de acción y comedia de 13 episodios similar a la famosa You're Under Arrest en algunos aspectos. ",2,Finalizado,13,7.8,Comedia,Shounen,Ecchi
